,Team,Player,Pageviews
202,Everton,Jake O'Brien,293315.0
203,Everton,Abdoulaye Doucouré,105770.0
204,Everton,Youssef Chermiti,74404.0
205,Everton,Ashley Young,724325.0
206,Everton,Vitaliy Mykolenko,67842.0
207,Everton,Armando Broja ,534073.0
208,Everton,Séamus Coleman ,267195.0
209,Everton,Carlos Alcaraz ,244985.0
210,Everton,Idrissa Gueye,170355.0
211,Everton,Jesper Lindstrøm ,145847.0
212,Everton,Asmir Begović,243493.0
213,Everton,Jarrad Branthwaite,567491.0
214,Everton,James Garner,109870.0
215,Everton,Tim Iroegbunam,141609.0
216,Fulham,Bernd Leno,181356.0
217,Fulham,Kenny Tete,65254.0
218,Fulham,Calvin Bassey,274554.0
219,Fulham,Joachim Andersen,225427.0
220,Fulham,Harrison Reed,51882.0
221,Fulham,Raúl Jiménez,341987.0
222,Fulham,Harry Wilson,252896.0
223,Fulham,Rodrigo Muniz,253001.0
224,Fulham,Tom Cairney ,123534.0
225,Fulham,Adama Traoré,656918.0
226,Fulham,Carlos Vinícius,137120.0
227,Fulham,Jorge Cuenca,49647.0
228,Fulham,Sander Berge,184703.0
229,Fulham,Alex Iwobi,429916.0
230,Fulham,Andreas Pereira,299612.0
231,Fulham,Reiss Nelson ,267142.0
232,Fulham,Saša Lukić,82216.0
233,Fulham,Timothy Castagne,107782.0
234,Fulham,Willian,464711.0
235,Fulham,Steven Benda,29747.0
236,Fulham,Josh King,8167.0
237,Fulham,Ryan Sessegnon,293746.0
238,Fulham,Issa Diop,61562.0
239,Fulham,Emile Smith Rowe,531985.0
240,Fulham,Antonee Robinson ,386272.0
241,Liverpool,Alisson Becker,804368.0
242,Liverpool,Joe Gomez,629922.0
243,Liverpool,Wataru Endō,625776.0
244,Liverpool,Virgil van Dijk ,1701881.0
245,Liverpool,Ibrahima Konaté,466553.0
246,Liverpool,Luis Díaz,821993.0
247,Liverpool,Dominik Szoboszlai,715031.0
248,Liverpool,Darwin Núñez,1365029.0
249,Liverpool,Alexis Mac Allister,1042455.0
250,Liverpool,Mohamed Salah,3108363.0
251,Liverpool,Federico Chiesa,1253817.0
252,Liverpool,Curtis Jones,636811.0
253,Liverpool,Cody Gakpo,940584.0
254,Liverpool,Harvey Elliott,660648.0
255,Liverpool,Diogo Jota,652744.0
256,Liverpool,Kostas Tsimikas,227461.0
257,Liverpool,Andrew Robertson,576547.0
258,Liverpool,Ryan Gravenberch,530601.0
259,Liverpool,Vítězslav Jaroš,222531.0
260,Liverpool,Caoimhín Kelleher,693380.0
261,Liverpool,Trent Alexander-Arnold ,1197524.0
262,Liverpool,Jarell Quansah,627927.0
263,Liverpool,Tyler Morton,151138.0
264,Liverpool,Conor Bradley,1104224.0
265,Liverpool,Harvey Davies,35257.0
266,Luton Town,James Shea,29889.0
267,Luton Town,Reuell Walters,57037.0
268,Luton Town,Amari'i Bell ,42455.0
269,Luton Town,Tom Lockyer ,175820.0
270,Luton Town,Mads Juel Andersen,23193.0
271,Luton Town,Mark McGuinness,56571.0
272,Luton Town,Victor Moses,461308.0
273,Luton Town,Thelo Aasgaard,45027.0
274,Luton Town,Carlton Morris ,128425.0
275,Luton Town,Elijah Adebayo,259144.0
276,Luton Town,Kal Naismith ,27742.0
277,Luton Town,Marvelous Nakamba,53699.0
278,Luton Town,Tahith Chong,255373.0
279,Luton Town,Teden Mengi,115093.0
280,Luton Town,Reece Burke,33540.0
281,Luton Town,Jordan Clark,46993.0
282,Luton Town,Jacob Brown,43314.0
