,Team,Player,Pageviews
318,New Orleans Pelicans,Javonte Green,73983
319,New Orleans Pelicans,Jordan Hawkins,132218
320,New Orleans Pelicans,Herbert Jones,113128
321,New Orleans Pelicans,Karlo Matković,50326
322,New Orleans Pelicans,CJ McCollum,221513
323,New Orleans Pelicans,Yves Missi,117005
324,New Orleans Pelicans,Trey III Murphy,124202
325,New Orleans Pelicans,Dejounte Murray,400689
326,New Orleans Pelicans,Kelly Olynyk,281037
327,New Orleans Pelicans,Antonio Reeves,55548
328,New Orleans Pelicans,Jeremiah Robinson-Earl,43087
329,New Orleans Pelicans,Zion Williamson,828669
330,New York Knicks,Precious Achiuwa,278548
331,New York Knicks,OG Anunoby,505591
332,New York Knicks,Mikal Bridges,626194
333,New York Knicks,Jalen Brunson,2034271
334,New York Knicks,Pacôme Dadiet,96892
335,New York Knicks,Josh Hart,799765
336,New York Knicks,Ariel Hukporti,111677
337,New York Knicks,Tyler Kolek,221935
338,New York Knicks,Miles McBride,239650
339,New York Knicks,Kevin Jr. McCullar,64579
340,New York Knicks,Cameron Payne,214197
341,New York Knicks,Mitchell Robinson,148500
342,New York Knicks,Matt Ryan,72015
343,New York Knicks,Landry Shamet,103913
344,New York Knicks,Jacob Toppin,197531
345,New York Knicks,Karl-Anthony Towns,1440101
346,New York Knicks,Delon Wright,111007
347,Oklahoma City Thunder,Branden Carlson,31087
348,Oklahoma City Thunder,Alex Caruso,445667
349,Oklahoma City Thunder,Ousmane Dieng,81063
350,Oklahoma City Thunder,Luguentz Dort,264813
351,Oklahoma City Thunder,Alex Ducas,16539
352,Oklahoma City Thunder,Adam Flagler,27024
353,Oklahoma City Thunder,Shai Gilgeous-Alexander,1892406
354,Oklahoma City Thunder,Isaiah Hartenstein,931465
355,Oklahoma City Thunder,Chet Holmgren,930951
356,Oklahoma City Thunder,Isaiah Joe,83167
357,Oklahoma City Thunder,Dillon Jones,59820
358,Oklahoma City Thunder,Ajay Mitchell,74127
359,Oklahoma City Thunder,Nikola Topić,205184
360,Oklahoma City Thunder,Cason Wallace,131755
361,Oklahoma City Thunder,Aaron Wiggins,167536
362,Oklahoma City Thunder,Jalen Williams,491577
363,Oklahoma City Thunder,Jaylin Williams,41234
364,Oklahoma City Thunder,Kenrich Williams,40414
365,Orlando Magic,Cole Anthony,148353
366,Orlando Magic,Paolo Banchero,885647
367,Orlando Magic,Goga Bitadze,151359
368,Orlando Magic,Anthony Black,136497
369,Orlando Magic,Kentavious Caldwell-Pope,345065
370,Orlando Magic,Wendell Jr. Carter,114079
371,Orlando Magic,Tristan da Silva,169908
372,Orlando Magic,Gary Harris,80132
373,Orlando Magic,Caleb Houstan,45663
374,Orlando Magic,Jett Howard,119183
375,Orlando Magic,Jonathan Isaac,173502
376,Orlando Magic,Cory Joseph,107036
377,Orlando Magic,Mac McClung,768427
378,Orlando Magic,Trevelin Queen,30552
379,Orlando Magic,Jalen Suggs,500856
380,Orlando Magic,Ethan Thompson,30779
381,Orlando Magic,Franz Wagner,458098
382,Orlando Magic,Moritz Wagner,331780
383,Philadelphia 76ers,Adem Bona,97605
384,Philadelphia 76ers,Jared Butler,60857
385,Philadelphia 76ers,Ricky IV Council,100961
386,Philadelphia 76ers,Jeff Dowtin,32291
387,Philadelphia 76ers,Andre Drummond,531596
388,Philadelphia 76ers,Justin Edwards,70752
389,Philadelphia 76ers,Joel Embiid,2267283
390,Philadelphia 76ers,Paul George,1154406
391,Philadelphia 76ers,Eric Gordon,240337
392,Philadelphia 76ers,Quentin Grimes,261536
393,Philadelphia 76ers,Kyle Lowry,650884
394,Philadelphia 76ers,Tyrese Maxey,614961
395,Philadelphia 76ers,Jared McCain,718788
396,Philadelphia 76ers,Chuma Okeke,53291
397,Philadelphia 76ers,Kelly Jr. Oubre,308059
398,Philadelphia 76ers,David Roddy,72808
399,Philadelphia 76ers,Guerschon Yabusele,588614
400,Phoenix Suns,Grayson Allen,372948
401,Phoenix Suns,Bradley Beal,349771
402,Phoenix Suns,Bol Bol,646784
403,Phoenix Suns,Devin Booker,1234028
404,Phoenix Suns,Jalen Bridges,28054
405,Phoenix Suns,Ryan Dunn,113614
406,Phoenix Suns,Kevin Durant,3017983
407,Phoenix Suns,Collin Gillespie,94425
408,Phoenix Suns,Oso Ighodaro,89484
409,Phoenix Suns,Tyus Jones,202418
410,Phoenix Suns,Damion Lee,150778
411,Phoenix Suns,Cody Martin,102287
412,Phoenix Suns,Vasilije Micić,274495
413,Phoenix Suns,Monté Morris,125921
414,Phoenix Suns,Royce O'Neale,92268
415,Phoenix Suns,Mason Plumlee,186912
416,Phoenix Suns,Nick Richards,336
417,Phoenix Suns,TyTy Jr. Washington,65903
418,Portland Trail Blazers,Deni Avdija,267874
419,Portland Trail Blazers,Deandre Ayton,379316
420,Portland Trail Blazers,Dalano Banton,108881
421,Portland Trail Blazers,Toumani Camara,70458
422,Portland Trail Blazers,Sidy Cissoko,42362
423,Portland Trail Blazers,Donovan Clingan,592323
424,Portland Trail Blazers,Jerami Grant,204376
425,Portland Trail Blazers,Scoot Henderson,262716
426,Portland Trail Blazers,Bryce McGowens,32740
427,Portland Trail Blazers,Justin Minaya,27620
428,Portland Trail Blazers,Kris Murray,103993
429,Portland Trail Blazers,Duop Reath,152078
430,Portland Trail Blazers,Rayan Rupert,34906
431,Portland Trail Blazers,Shaedon Sharpe,118052
432,Portland Trail Blazers,Anfernee Simons,144286
433,Portland Trail Blazers,Matisse Thybulle,142509
434,Portland Trail Blazers,Jabari Walker,54342
435,Portland Trail Blazers,Robert III Williams,154892
436,Sacramento Kings,Devin Carter,127092
437,Sacramento Kings,Isaiah Crawford,12178
438,Sacramento Kings,Jae Crowder,186777
439,Sacramento Kings,DeMar DeRozan,969331
440,Sacramento Kings,Keon Ellis,91914
441,Sacramento Kings,Markelle Fultz,499734
442,Sacramento Kings,Isaac Jones,21226
443,Sacramento Kings,Mason Jones,29438
444,Sacramento Kings,Jake LaRavia,63970
445,Sacramento Kings,Zach LaVine,380124
446,Sacramento Kings,Trey Lyles,110667
447,Sacramento Kings,Doug McDermott,263955
448,Sacramento Kings,Malik Monk,208734
449,Sacramento Kings,Keegan Murray,187272
450,Sacramento Kings,Daishen Nix,56743
451,Sacramento Kings,Domantas Sabonis,844556
452,Sacramento Kings,Jonas Valančiūnas,264309
453,San Antonio Spurs,Harrison Barnes,350686
454,San Antonio Spurs,Charles Bassey,39635
455,San Antonio Spurs,Bismack Biyombo,145306
456,San Antonio Spurs,Malaki Branham,48281
457,San Antonio Spurs,Stephon Castle,333887
458,San Antonio Spurs,Julian Champagnie,92839
459,San Antonio Spurs,David Jr. Duke,32703
460,San Antonio Spurs,De'Aaron Fox,318861
461,San Antonio Spurs,Harrison Ingram,106114
462,San Antonio Spurs,Keldon Johnson,143888
463,San Antonio Spurs,Sandro Mamukelashvili,93698
464,San Antonio Spurs,Jordan McLaughlin,51245
465,San Antonio Spurs,Riley Minix,20616
466,San Antonio Spurs,Chris Paul,1446349
467,San Antonio Spurs,Jeremy Sochan,313068
468,San Antonio Spurs,Devin Vassell,97230
469,San Antonio Spurs,Victor Wembanyama,3266396
470,San Antonio Spurs,Blake Wesley,45098
471,Toronto Raptors,Ochai Agbaji,182836
472,Toronto Raptors,Scottie Barnes,541501
473,Toronto Raptors,RJ Barrett,533762
474,Toronto Raptors,Jamison Battle,63500
475,Toronto Raptors,Chris Boucher,116669
476,Toronto Raptors,Ulrich Chomche,82315
477,Toronto Raptors,Gradey Dick,339096
478,Toronto Raptors,Brandon Ingram,346297
479,Toronto Raptors,A. J. Lawson,43917
480,Toronto Raptors,Jonathan Mogbo,66978
481,Toronto Raptors,Jakob Pöltl,126538
482,Toronto Raptors,Immanuel Quickley,192826
483,Toronto Raptors,Orlando Robinson,34971
484,Toronto Raptors,Jamal Shead,113781
485,Toronto Raptors,Garrett Temple,105392
486,Toronto Raptors,P. J. Tucker,276606
487,Toronto Raptors,Ja'Kobe Walter,96552
488,Utah Jazz,Jordan Clarkson,354153
489,Utah Jazz,Isaiah Collier,119353
490,Utah Jazz,John Collins,112369
491,Utah Jazz,Kyle Filipowski,545941
492,Utah Jazz,Keyonte George,121647
493,Utah Jazz,Elijah Harkless,3481
494,Utah Jazz,Taylor Hendricks,78429
495,Utah Jazz,Johnny Juzang,106503
496,Utah Jazz,Walker Kessler,179857
497,Utah Jazz,Lauri Markkanen,492484
498,Utah Jazz,Kenyon Jr. Martin,187683
499,Utah Jazz,Sviatoslav Mykhailiuk,132193
500,Utah Jazz,Micah Potter,59478
501,Utah Jazz,Brice Sensabaugh,47367
502,Utah Jazz,Collin Sexton,175679
503,Utah Jazz,Oscar Tshiebwe,123814
504,Utah Jazz,Cody Williams,182639
505,Washington Wizards,Saddiq Bey,113686
506,Washington Wizards,Malcolm Brogdon,283297
507,Washington Wizards,Bub Carrington,98507
