,Team_df2_x,Player_df2_x,Wikipedia_Link,Pageviews,ID,Player_df1_x,Until,G,GS,Cmp,PaAtt,Cmp%,PaYds,PaTD,IntO,Rate,SkO,QBWin,GWD,RuAtt,RuYds,RuY/A,RuTD,RuY/G,Tgt,Rec,RecYds,Y/Rec,RecTD,RecY/G,FG,FG%,2PM,Sfty,Pts,FantPts,SkD,Solo,Ast,TFL,QBHit,IntD,Pick6,PaDef,Fmb,FR,Scoop6,FF,PntYds,Y/Pnt,Blck,APYd,RetYds,Pos,Team_df1,MVP,OPOY,DPOY,OROY,DROY,AP1,SB,IG,Player_df1_y,Player_df2_y,Match Score,Team_df2_y,df2_index,df1_index
621,Denver Broncos,Mitchell Fraboni,https://en.wikipedia.org/wiki/Mitchell_Fraboni,4484.0,763,Mitchell Fraboni,2024,38,0,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,8,8,0,0,0,0,0,0,0,0,1,0,,0,0,0,LS,DEN,0,0,0,0,0,0,0,,Mitchell Fraboni,Mitchell Fraboni,100.0,Denver Broncos,756,762
1179,Denver Broncos,Wil Lutz,https://en.wikipedia.org/wiki/Wil_Lutz,57256.0,1467,Wil Lutz,2024,131,0,0,0,,0,0,0,,0,,0,1,4,4.0,0,0.0,0,0,0,,0,0.0,226,85.9,0,0,1039,1089.4,0.0,6,1,0,0,0,0,0,0,0,0,0,0,,0,4,0,K,"DEN,NOR",0,0,0,0,0,0,0,,Wil Lutz,Wil Lutz,100.0,Denver Broncos,757,1466
96,Denver Broncos,Quinn Bailey,https://en.wikipedia.org/wiki/Quinn_Bailey,5943.0,115,Quinn Bailey,2023,31,2,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,T,DEN,0,0,0,0,0,0,0,,Quinn Bailey,Quinn Bailey,100.0,Denver Broncos,758,114
285,Denver Broncos,Michael Burton,https://en.wikipedia.org/wiki/Michael_Burton_(American_football),32547.0,339,Michael Burton,2024,147,22,0,0,,0,0,0,,0,,0,42,79,1.9,2,0.5,36,31,196,6.3,2,1.3,0,,1,0,26,53.5,0.0,18,18,0,0,0,0,0,0,0,0,1,0,,0,335,60,FB,"CHI,DEN,DET,KAN,NOR,WAS",0,0,0,0,0,0,1,,Michael Burton,Michael Burton,100.0,Denver Broncos,759,338
409,Denver Broncos,Zach Cunningham,https://en.wikipedia.org/wiki/Zach_Cunningham,36199.0,502,Zach Cunningham,2024,102,86,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,6,0.0,6.5,448,261,31,13,1,1,23,0,4,0,5,0,,0,62,0,LB,"DEN,HOU,PHI,TEN",0,0,0,0,0,0,0,,Zach Cunningham,Zach Cunningham,100.0,Denver Broncos,760,501
886,Denver Broncos,Lil'Jordan Humphrey,https://en.wikipedia.org/wiki/Lil%27Jordan_Humphrey,76608.0,1101,Lil'Jordan Humphrey,2024,58,23,0,0,,0,0,0,,0,,0,0,0,,0,0.0,92,62,770,12.4,7,13.3,0,,0,0,42,117.0,0.0,1,0,0,0,0,0,0,2,1,0,0,0,,0,770,0,WR,"DEN,NOR,NWE",0,0,0,0,0,0,0,,Lil'Jordan Humphrey,Lil'Jordan Humphrey,100.0,Denver Broncos,761,1100
1832,Denver Broncos,Justin Strnad,https://en.wikipedia.org/wiki/Justin_Strnad,17501.0,2267,Justin Strnad,2024,67,13,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,3.0,79,40,8,5,0,0,3,0,0,0,0,0,,0,0,0,LB,DEN,0,0,0,0,0,0,0,,Justin Strnad,Justin Strnad,100.0,Denver Broncos,762,2266
634,Detroit Lions,Jake Fromm,https://en.wikipedia.org/wiki/Jake_Fromm,249240.0,776,Jake Fromm,2021,3,2,27,60,45.0,210,1,3,38.9,6,0.0,0,8,65,8.1,0,21.7,0,0,0,,0,0.0,0,,0,0,0,10.9,0.0,0,0,0,0,0,0,0,2,0,0,0,0,,0,65,0,QB,NYG,0,0,0,0,0,0,0,,Jake Fromm,Jake Fromm,100.0,Detroit Lions,763,775
683,Detroit Lions,Jared Goff,https://en.wikipedia.org/wiki/Jared_Goff,2484695.0,842,Jared Goff,2024,134,134,3047,4646,65.6,35058,222,94,95.7,248,81.0,20,276,551,2.0,12,4.1,2,2,12,6.0,1,0.1,0,,1,0,86,2202.7,0.0,2,0,0,0,0,0,0,70,14,0,0,0,,0,547,0,QB,"DET,LAR",0,0,0,0,0,0,0,,Jared Goff,Jared Goff,100.0,Detroit Lions,764,841
861,Detroit Lions,Hendon Hooker,https://en.wikipedia.org/wiki/Hendon_Hooker,271599.0,1064,Hendon Hooker,2024,3,0,6,9,66.7,62,0,0,86.3,1,,0,5,2,0.4,0,0.7,0,0,0,,0,0.0,0,,0,0,0,2.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,QB,DET,0,0,0,0,0,0,0,,Hendon Hooker,Hendon Hooker,100.0,Detroit Lions,765,1063
