,ID,Player,Until,G,GS,Cmp,PaAtt,Cmp%,PaYds,PaTD,IntO,Rate,SkO,QBWin,GWD,RuAtt,RuYds,RuY/A,RuTD,RuY/G,Tgt,Rec,RecYds,Y/Rec,RecTD,RecY/G,FG,FG%,2PM,Sfty,Pts,FantPts,SkD,Solo,Ast,TFL,QBHit,IntD,Pick6,PaDef,Fmb,FR,Scoop6,FF,PntYds,Y/Pnt,Blck,APYd,RetYds,Pos,Team,MVP,OPOY,DPOY,OROY,DROY,AP1,SB,IG
1691,1692,Bill Murray,2024,4,0,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,OL,"CHI,NWE",0,0,0,0,0,0,0,
1692,1693,Eric Murray,2024,124,58,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,5.0,269,117,10,9,3,0,24,0,1,0,2,0,,0,0,0,DB,"CLE,HOU,KAN",0,0,0,0,0,0,0,
1693,1694,Justin Murray,2023,41,20,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,RT,"ARI,BUF,OAK,TEN",0,0,0,0,0,0,0,
1694,1695,Kenneth Murray,2024,73,67,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,8.5,271,145,29,14,3,0,12,0,0,0,2,0,,0,22,0,LB,"LAC,TEN",0,0,0,0,0,0,0,
1695,1696,Kyler Murray,2024,82,82,1864,2780,67.1,19498,115,57,92.4,179,36.0,13,503,3020,6.0,31,36.8,0,0,7,,0,0.1,0,,2,0,190,1608.6,0.0,0,0,0,0,0,0,0,50,28,0,0,0,,0,2998,0,QB,ARI,0,0,0,1,0,0,0,
1696,1697,Latavius Murray,2023,151,80,0,0,,0,0,0,,0,,0,1560,6552,4.2,59,43.4,301,239,1620,6.8,2,10.7,0,,2,0,370,1183.2,0.0,3,1,0,0,0,0,0,11,1,0,0,0,,0,8586,429,RB,"BAL,BUF,DEN,MIN,NOR,OAK",0,0,0,0,0,0,0,
1697,1698,Nick Muse,2024,16,0,0,0,,0,0,0,,0,,0,0,0,,0,0.0,1,1,22,22.0,0,1.4,0,,0,0,0,2.2,0.0,0,1,0,0,0,0,0,0,0,0,0,0,,0,22,0,TE,MIN,0,0,0,0,0,0,0,
1698,1699,Tanner Muse,2024,36,1,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,15,8,0,0,0,0,1,0,0,0,0,0,,0,0,0,LB,"JAX,LAC,SEA",0,0,0,0,0,0,0,
1699,1700,Luke Musgrave,2024,18,12,0,0,,0,0,0,,0,,0,0,0,,0,0.0,56,41,397,9.7,1,22.1,0,,0,0,6,45.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,397,0,TE,GNB,0,0,0,0,0,0,0,
1700,1701,Malik Mustapha,2024,16,12,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,32,40,2,0,1,0,5,0,0,0,0,0,,0,1,0,S,SFO,0,0,0,0,0,0,0,
1701,1702,PJ Mustipher,2023,4,0,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,1,3,0,0,0,0,0,0,0,0,0,0,,0,0,0,DT,NOR,0,0,0,0,0,0,0,
1702,1703,Sam Mustipher,2024,64,43,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,1,0,0,0,0,0,0,8,0,0,0,0,,0,-14,0,C,"BAL,CHI,LAC",0,0,0,0,0,0,0,
1703,1704,Netane Muti,2023,22,4,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,G,"DEN,LVR",0,0,0,0,0,0,0,
1704,1705,Chris Myarick,2022,27,11,0,0,,0,0,0,,0,,0,0,0,,0,0.0,14,10,82,8.2,2,3.0,0,,0,0,12,20.2,0.0,4,2,0,0,0,0,0,0,0,0,0,0,,0,82,0,FB,"MIA,NYG",0,0,0,0,0,0,0,
1705,1706,Jason Myers,2024,154,0,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,256,85.6,0,0,1118,1202.0,0.0,13,3,0,0,0,0,0,0,0,0,0,0,,0,0,0,K,"JAX,NYJ,SEA",0,0,0,0,0,0,0,
1706,1707,Josh Myers,2024,56,56,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,,0,-13,0,OL,GNB,0,0,0,0,0,0,0,
1707,1708,Malik Nabers,2024,15,13,0,1,0.0,0,0,0,39.6,0,,0,5,2,0.4,0,0.1,170,109,1204,11.0,7,80.3,0,,1,0,44,164.6,0.0,0,0,0,0,0,0,0,1,0,0,0,0,,0,1206,0,WR,NYG,0,0,0,0,0,0,0,
1708,1709,Puka Nacua,2024,28,28,0,0,,0,0,0,,0,,0,23,135,5.9,1,4.8,266,184,2476,13.5,9,88.4,0,,0,0,60,321.1,0.0,0,0,0,0,0,0,0,1,1,0,0,0,,0,2611,0,WR,LAR,0,0,0,0,0,0,0,
1709,1710,Jalen Nailor,2024,38,8,0,0,,0,0,0,,0,,0,3,-4,-1.3,0,-0.1,61,40,622,15.6,7,16.4,0,,0,0,42,101.8,0.0,4,1,0,0,0,0,0,1,0,0,1,0,,0,618,0,WR,MIN,0,0,0,0,0,0,0,
1710,1711,Brayden Narveson,2024,7,0,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,12,66.7,0,0,54,54.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,K,"GNB,TEN",0,0,0,0,0,0,0,
1711,1712,Elias Neal,2024,6,0,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,LB,LAR,0,0,0,0,0,0,0,
1712,1713,Evan Neal,2024,29,27,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,T,NYG,0,0,0,0,0,0,0,
1713,1714,Keanu Neal,2023,89,69,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,2.5,361,162,22,11,4,0,22,0,5,0,8,0,,0,51,0,SS,"ATL,DAL,PIT,TAM",0,0,0,0,0,0,0,
1714,1715,Ryan Neal,2024,64,32,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,1,2,0.0,2.0,165,74,14,4,3,0,16,0,0,0,1,0,,0,14,0,DB,"ATL,SEA,TAM",0,0,0,0,0,0,0,
1715,1716,Siran Neal,2024,114,1,0,0,,0,0,0,,0,,0,0,0,,0,0.0,1,1,13,13.0,0,0.1,0,,0,0,0,1.3,1.0,94,32,4,3,0,0,7,0,2,0,3,0,,0,13,0,DB,"BUF,MIA",0,0,0,0,0,0,0,
1716,1717,Nik Needham,2024,63,27,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,6,0.0,3.0,143,57,3,6,6,1,25,0,1,0,1,0,,0,52,0,RCB,MIA,0,0,0,0,0,0,0,
1717,1718,Anthony Nelson,2024,92,18,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,18.5,97,77,26,42,0,0,5,0,3,0,5,0,,0,0,0,LOLB,TAM,0,0,0,0,0,0,1,
1718,1719,Matt Nelson,2023,43,14,0,0,,0,0,0,,0,,0,0,0,,0,0.0,1,0,0,,0,0.0,0,,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,DT,DET,0,0,0,0,0,0,0,
1719,1720,Quenton Nelson,2024,112,112,0,0,,0,0,0,,0,,0,1,0,0.0,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,1,1,0,0,0,0,0,0,2,0,0,0,,0,0,0,LG,IND,0,0,0,0,0,3,0,
1720,1721,Steven Nelson,2023,130,115,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,1.0,374,82,11,2,13,0,78,0,4,0,2,0,,0,159,0,CB,"HOU,KAN,PHI,PIT",0,0,0,0,0,0,0,
1721,1722,Ryan Neuzil,2024,43,12,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,G,ATL,0,0,0,0,0,0,0,
1722,1723,Royce Newman,2024,52,24,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,OL,"GNB,TAM",0,0,0,0,0,0,0,
1723,1724,Xavier Newman-Johnson,2024,20,5,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,OL,"NYJ,TEN",0,0,0,0,0,0,0,
1724,1725,Greg Newsome II,2024,54,42,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,6,0.0,1.0,122,33,4,2,3,1,34,0,0,0,0,0,,0,32,0,CB,CLE,0,0,0,0,0,0,0,
1725,1726,Jer'Zhan Newton,2024,16,11,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,2.0,19,25,6,7,0,0,1,0,1,0,1,0,,0,2,0,DT,WAS,0,0,0,0,0,0,0,
1726,1727,Josh Newton,2024,17,6,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,27,4,1,0,1,0,7,0,0,0,0,0,,0,12,0,CB,CIN,0,0,0,0,0,0,0,
