,Team,Pageviews,G,GS,Cmp,PaAtt,Cmp%,PaYds,PaTD,IntO,Rate,SkO,QBWin,GWD,RuAtt,RuYds,RuY/A,RuTD,RuY/G,Tgt,Rec,RecYds,Y/Rec,RecTD,RecY/G,FG,FG%,2PM,Sfty,Pts,FantPts,SkD,Solo,Ast,TFL,QBHit,IntD,Pick6,PaDef,Fmb,FR,Scoop6,FF,PntYds,Y/Pnt,Blck,APYd,RetYds,Pos,MVP,OPOY,DPOY,OROY,DROY,AP1,SB,Player,Obscurity_Score,Obscurity_Score_Scaled
39,Arizona Cardinals,7964.0,6,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0,1,0,LB,0,0,0,0,0,0,0,Benton Whitley,99.52041517684502,160.63991439297087
40,Arizona Cardinals,35893.0,93,48,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,9.0,190,121,15,15,2,0,18,0,1,0,4,0,0.0,0,21,0,LB,0,0,0,0,0,0,0,Mack Wilson,99.11276179355585,153.86941185544913
41,Arizona Cardinals,132813.0,122,112,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,6,0.0,9.5,621,280,47,18,7,0,39,0,5,1,7,0,0.0,0,279,0,S,0,0,0,0,0,2,0,Budda Baker,97.81487755754758,134.0630257899
42,Arizona Cardinals,6332.0,37,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,14,6,0,0,1,0,1,0,1,0,2,0,0.0,0,0,0,S,0,0,0,0,0,0,0,Joey Blount,99.53586476345933,160.90197651535254
43,Arizona Cardinals,16528.0,6,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,CB,0,0,0,0,0,0,1,Ekow Boye-Doe,99.37536804629059,158.19921016162192
44,Arizona Cardinals,8518.0,29,8,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,1.0,43,12,3,1,1,0,5,0,0,0,0,0,0.0,0,0,0,CB,0,0,0,0,0,0,0,Kei'Trel Clark,99.50639911325347,160.40251828005105
45,Arizona Cardinals,12841.0,35,10,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,1.0,51,22,3,1,0,0,6,0,1,0,1,0,0.0,0,3,0,RCB,0,0,0,0,0,0,0,Darren Hall,99.4390663912202,159.2667021428534
46,Arizona Cardinals,51784.0,17,3,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,36,15,2,0,0,0,5,0,0,0,1,0,0.0,0,0,0,CB,0,0,0,0,0,0,0,Max Melton,98.9583226626116,151.3756454829945
47,Arizona Cardinals,67346.0,82,65,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,6,0.0,1.0,211,86,12,1,11,1,34,0,2,0,8,0,0.0,0,143,0,RCB,0,0,0,0,0,0,1,Sean Murphy-Bunting,98.68290370539259,147.02285858683751
48,Arizona Cardinals,14575.0,40,32,0,0,0.0,0,0,0,0.0,1,0.0,0,515,2264,4.4,18,56.6,121,92,615,6.7,5,15.4,0,0.0,1,0,140,421.9,0.0,0,1,0,0,0,0,0,8,1,0,0,0,0.0,0,2879,0,RB,0,0,0,0,0,0,0,James Robinson,98.92650077869133,150.86657775857242
