,Team_df2_x,Player_df2_x,Wikipedia_Link,Pageviews,ID,Player_df1_x,Until,MP,Min,Start,Sub,Gls,Ast,NPG,PK,Sh,SoT,SoT%,ShDist,FK,PaCmp,PaCmp%,KP,Crs,PrgP,Car,TotDist,PrgC,Mis,Dis,TOnAtt,TOnSucc,TOnSucc%,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Blck,Int,Clr,Err,DuelW,DuelW%,CrdY,CrdR,Fls,Fld,Off,OG,Recov,GA,Sv,Sv%,CS,CS%,Pos,Team_df1,BdOr,GBoot,GGlove,POTY,TOTY,WC,Euro,UCL,Prem,IG,Wiki,Obscurity,Player_df1_y,Player_df2_y,Match Score,Team_df2_y,df2_index,df1_index
104,Brighton & Hove Albion,Lewis Dunk ,https://en.wikipedia.org/wiki/Lewis_Dunk,,419,Lewis Dunk,2024-2025,259,22885,257,2,16,6,16,0,194,60,30.9,12.8,17,15306,88.1,77,4,805,11794,58488,167,101,33,50,34,68.0,258,145,170,81,7,255,306,997,14,658,64.5,45,5,154,121,7,6,1614,0,0,0.0,0,0.0,DF,Brighton,0,0,0,0,0,0,0,0,0,,253593.0,88.56258436,Lewis Dunk,Lewis Dunk ,95.23809523809523,Brighton & Hove Albion,82,418
247,Brighton & Hove Albion,James Milner,https://en.wikipedia.org/wiki/James_Milner,,968,James Milner,2024-2025,637,40187,433,204,55,89,38,17,124,218,28.2,21.8,2,5865,81.8,156,37,776,4834,19294,178,114,74,95,60,63.2,222,209,77,115,30,25,143,139,3,111,49.3,78,3,564,130,6,0,588,0,0,,0,,"DF,MF","Aston Villa,Brighton,Leeds United,Liverpool,Manchester City,Newcastle Utd",0,0,0,0,1,0,0,1,3,,851805.0,96.93959114,James Milner,James Milner,100.0,Brighton & Hove Albion,83,967
230,Brighton & Hove Albion,Solly March,https://en.wikipedia.org/wiki/Solly_March,,892,Solly March,2024-2025,184,12169,133,51,14,18,14,0,223,77,34.5,18.7,10,3958,70.0,208,68,482,4150,27454,443,211,209,428,247,57.7,290,164,139,85,66,22,135,202,2,117,35.5,11,0,183,157,48,0,709,0,0,,0,,"MF,DF",Brighton,0,0,0,0,0,0,0,0,0,,92066.0,92.97984711,Solly March,Solly March,100.0,Brighton & Hove Albion,84,891
145,Brighton & Hove Albion,Brajan Gruda,https://en.wikipedia.org/wiki/Brajan_Gruda,,583,Brajan Gruda,2024-2025,11,367,5,6,0,0,0,0,3,2,66.7,18.6,2,101,72.7,10,1,13,115,808,14,6,16,17,6,35.3,9,4,2,5,2,0,2,3,0,2,40.0,0,0,3,6,1,0,15,0,0,,0,,"FW,MF",Brighton,0,0,0,0,0,0,0,0,0,,137099.0,95.43760919,Brajan Gruda,Brajan Gruda,100.0,Brighton & Hove Albion,85,582
180,Brighton & Hove Albion,João Pedro,"https://en.wikipedia.org/wiki/Jo%C3%A3o_Pedro_(footballer,_born_2001)",,702,João Pedro,2024-2025,79,5009,49,30,17,9,12,5,147,48,32.7,15.4,1,1379,74.6,73,10,220,1734,11384,187,193,148,268,129,48.1,61,34,20,26,15,5,32,53,0,123,46.8,6,0,46,122,17,0,179,0,0,,0,,"FW,MF","Brighton,Watford",0,0,0,0,0,0,0,0,0,,352491.0,86.33132996,João Pedro,João Pedro,100.0,Brighton & Hove Albion,86,701
4,Brighton & Hove Albion,Simon Adingra,https://en.wikipedia.org/wiki/Simon_Adingra,,13,Simon Adingra,2024-2025,46,2775,31,15,8,2,8,0,65,26,40.0,15.7,0,778,75.4,40,13,58,963,6336,131,73,34,152,62,40.8,58,26,29,16,13,1,25,25,0,11,45.8,3,0,38,19,17,0,148,0,0,,0,,"FW,MF",Brighton,0,0,0,0,0,0,0,0,0,,311853.0,88.67489932,Simon Adingra,Simon Adingra,100.0,Brighton & Hove Albion,87,12
311,Brighton & Hove Albion,Georginio Rutter,https://en.wikipedia.org/wiki/Georginio_Rutter,,1251,Georginio Rutter,2024-2025,33,1450,14,19,4,3,4,0,44,8,18.2,15.2,0,203,62.8,16,1,56,339,2256,40,47,37,70,24,34.3,35,18,14,13,8,2,10,13,1,31,43.1,2,0,30,39,7,0,57,0,0,,0,,"FW,MF","Brighton,Leeds United",0,0,0,0,0,0,0,0,0,,250027.0,91.07156323,Georginio Rutter,Georginio Rutter,100.0,Brighton & Hove Albion,88,1250
249,Brighton & Hove Albion,Yankuba Minteh,https://en.wikipedia.org/wiki/Yankuba_Minteh,,972,Yankuba Minteh,2024-2025,18,750,7,11,3,2,3,0,14,4,28.6,15.3,0,135,59.5,13,3,18,195,1576,39,20,6,51,23,45.1,14,9,6,2,6,0,5,8,0,8,33.3,5,0,11,4,2,0,33,0,0,,0,,"FW,MF",Brighton,0,0,0,0,0,0,0,0,0,,370641.0,88.01319673,Yankuba Minteh,Yankuba Minteh,100.0,Brighton & Hove Albion,90,971
384,Brighton & Hove Albion,Danny Welbeck,https://en.wikipedia.org/wiki/Danny_Welbeck,,1514,Danny Welbeck,2024-2025,350,19842,217,133,73,30,73,0,296,247,40.5,13.8,9,1949,80.8,125,0,216,2229,11467,168,291,146,199,91,45.7,127,71,31,60,36,7,54,99,1,186,45.0,18,0,204,127,33,0,242,0,0,,0,,FW,"Arsenal,Brighton,Manchester Utd,Sunderland,Watford",0,0,0,0,0,0,0,1,1,,816919.0,74.19783664,Danny Welbeck,Danny Welbeck,100.0,Brighton & Hove Albion,91,1513
26,Brighton & Hove Albion,Carlos Baleba,https://en.wikipedia.org/wiki/Carlos_Baleba,,107,Carlos Baleba,2024-2025,47,2845,33,14,2,1,2,0,49,12,24.5,25.1,0,1322,90.3,22,1,126,1082,5918,46,39,39,59,31,52.5,89,46,32,42,15,12,49,45,3,47,67.1,14,1,66,56,0,0,209,0,0,,0,,MF,Brighton,0,0,0,0,0,0,0,0,0,,149448.0,93.64667897,Carlos Baleba,Carlos Baleba,100.0,Brighton & Hove Albion,92,106
