,Unnamed: 0,Team_df2_x,Player_df2_x,Wikipedia_Link,Pageviews,ID,Player_df1_x,Until,G,GS,All_Star,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team_df1,MVP,ROY,DPOY,All_NBA,Champ,IG,Player_df1_y,Player_df2_y,Match Score,Team_df2_y,df2_index,df1_index,Team_Pageviews
24,358,Boston Celtics,Drew Peterson,https://en.wikipedia.org/wiki/Drew_Peterson_(basketball),88362.0,612,Drew Peterson,2024-25,14,0,0,132,15,28,5,6,10,22,6,7,5,19,24,9,4,2,6,11,46,0.536,0.833,0.455,0.857,0.74,0.714,G,BOS,0,0,0,0,1,16899.0,Drew Peterson,Drew Peterson,100.0,Boston Celtics,26,611,1932688
25,370,Boston Celtics,Kristaps Porziņģis,https://en.wikipedia.org/wiki/Kristaps_Porzi%C5%86%C4%A3is,1232667.0,632,Kristaps Porziņģis,2024-25,477,476,1,14707,3288,7153,2401,4701,887,2452,1896,2281,834,2898,3732,855,346,873,800,1424,9359,0.46,0.511,0.362,0.831,0.574,0.522,F-C,"BOS,DAL,NYK,WAS",0,0,0,0,1,1600000.0,Kristaps Porziņģis,Kristaps Porziņģis,100.0,Boston Celtics,27,631,1932688
26,376,Boston Celtics,Payton Pritchard,https://en.wikipedia.org/wiki/Payton_Pritchard,539468.0,640,Payton Pritchard,2024-25,309,14,0,5904,955,2123,408,756,547,1367,165,193,219,577,796,742,151,27,238,380,2622,0.45,0.54,0.4,0.855,0.594,0.579,G,BOS,0,0,0,0,1,447083.0,Payton Pritchard,Payton Pritchard,100.0,Boston Celtics,28,639,1932688
27,379,Boston Celtics,Neemias Queta,https://en.wikipedia.org/wiki/Neemias_Queta,201086.0,643,Neemias Queta,2024-25,82,5,0,994,165,263,165,261,0,2,57,83,123,177,300,47,25,58,42,141,387,0.627,0.632,0.0,0.687,0.646,0.627,C,"BOS,SAC",0,0,0,0,1,184601.0,Neemias Queta,Neemias Queta,100.0,Boston Celtics,29,642,1932688
28,408,Boston Celtics,Baylor Scheierman,https://en.wikipedia.org/wiki/Baylor_Scheierman,137343.0,690,Baylor Scheierman,2024-25,6,0,0,38,1,11,1,4,0,7,2,2,2,8,10,2,1,0,0,3,4,0.091,0.25,0.0,1.0,0.168,0.091,G,BOS,0,0,0,0,0,40561.0,Baylor Scheierman,Baylor Scheierman,100.0,Boston Celtics,30,689,1932688
29,442,Boston Celtics,Jayson Tatum,https://en.wikipedia.org/wiki/Jayson_Tatum,2805655.0,749,Jayson Tatum,2024-25,552,552,5,18985,4488,9751,3049,5898,1439,3853,2516,2995,489,3542,4031,2022,614,365,1288,1167,12931,0.46,0.517,0.373,0.84,0.584,0.534,F,BOS,0,0,0,4,1,7292211.0,Jayson Tatum,Jayson Tatum,100.0,Boston Celtics,31,748,1932688
30,452,Boston Celtics,Xavier Tillman Sr.,https://en.wikipedia.org/wiki/Xavier_Tillman,176181.0,766,Xavier Tillman Sr.,2024-25,251,59,0,4116,584,1136,524,907,60,229,152,265,339,631,970,317,210,126,165,364,1380,0.514,0.578,0.262,0.574,0.551,0.54,F,"BOS,MEM",0,0,0,0,1,0.0,Xavier Tillman Sr.,Xavier Tillman Sr.,100.0,Boston Celtics,32,765,1932688
31,479,Boston Celtics,Jordan Walsh,https://en.wikipedia.org/wiki/Jordan_Walsh,161658.0,803,Jordan Walsh,2024-25,37,2,0,317,22,62,12,21,10,41,6,12,16,37,53,13,12,9,10,28,60,0.355,0.571,0.244,0.5,0.446,0.435,G-F,BOS,0,0,0,0,1,178482.0,Jordan Walsh,Jordan Walsh,100.0,Boston Celtics,33,802,1932688
32,491,Boston Celtics,Derrick White,https://en.wikipedia.org/wiki/Derrick_White,165415.0,822,Derrick White,2024-25,458,342,0,12862,2012,4491,1200,2262,812,2229,962,1129,266,1375,1641,1869,370,415,629,977,5798,0.448,0.531,0.364,0.852,0.581,0.538,G,"BOS,SAS",0,0,0,0,1,410371.0,Derrick White,Derrick White,100.0,Boston Celtics,34,821,1932688
33,35,Brooklyn Nets,Reece Beekman,https://en.wikipedia.org/wiki/Reece_Beekman,45226.0,52,Reece Beekman,2024-25,15,0,0,138,14,36,10,23,4,13,4,7,2,7,9,18,7,2,8,5,36,0.389,0.435,0.308,0.571,0.461,0.444,G,"BRK,GSW",0,0,0,0,0,20802.0,Reece Beekman,Reece Beekman,100.0,Brooklyn Nets,35,51,639148
