Unnamed: 0,Team,Pageviews,G,GS,Cmp,PaAtt,Cmp%,PaYds,PaTD,IntO,Rate,SkO,QBWin,GWD,RuAtt,RuYds,RuY/A,RuTD,RuY/G,Tgt,Rec,RecYds,Y/Rec,RecTD,RecY/G,FG,FG%,2PM,Sfty,Pts,FantPts,SkD,Solo,Ast,TFL,QBHit,IntD,Pick6,PaDef,Fmb,FR,Scoop6,FF,PntYds,Y/Pnt,Blck,APYd,RetYds,Pos,MVP,OPOY,DPOY,OROY,DROY,AP1,SB,Player,Obscurity_Score,Obscurity_Score_Scaled,obscurity_score,obscurity_score_normalized,obscurity_score_scaled
0,Arizona Cardinals,845475.0,82,82,1864,2780,67.1,19498,115,57,92.4,179,36.0,13,503,3020,6.0,31,36.8,0,0,7,0.0,0,0.1,0,0.0,2,0,190,1608.6,0.0,0,0,0,0,0,0,0,50,28,0,0,0,0.0,0,2998,0,QB,0,0,0,1,0,0,0,Kyler Murray,86.82499391997399,38.767680568141934,16.91,8.417780221225406,8.46
1,Arizona Cardinals,56850.0,13,1,14,23,60.9,70,0,2,29.3,7,0.0,0,15,26,1.7,1,2.0,0,0,0,0.0,0,0.0,0,0.0,1,0,8,5.4,0.0,0,0,0,0,0,0,0,3,0,0,0,0,0.0,0,21,0,QB,0,0,0,0,0,0,0,Clayton Tune,98.71195348354792,147.47633320470604,61.58,61.51215786685752,30.79
2,Arizona Cardinals,110208.0,13,1,0,0,0.0,0,0,0,0.0,0,0.0,0,63,291,4.6,1,22.4,6,6,59,9.8,0,4.5,0,0.0,0,0,6,41.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,350,0,RB,0,0,0,0,0,0,0,Trey Benson,98.10139366262877,138.2170289044738,49.66,60.30770182693145,24.83
3,Arizona Cardinals,50197.0,48,22,0,0,0.0,0,0,0,0.0,0,0.0,0,326,1359,4.2,8,28.3,151,112,771,6.9,1,16.1,0,0.0,0,0,54,263.0,0.0,1,0,0,0,0,0,0,3,0,0,0,0,0.0,0,2130,0,RB,0,0,0,0,0,0,0,Michael Carter,98.64885065145444,146.49295601640063,45.34,59.02183474756696,22.67
4,Arizona Cardinals,198361.0,107,81,0,0,0.0,0,0,0,0.0,0,0.0,0,1361,5970,4.4,59,55.8,338,281,2217,7.9,11,20.7,0,0.0,4,0,428,1236.7,0.0,2,0,0,0,0,0,0,16,11,0,1,0,0.0,0,8187,0,RB,0,0,0,0,0,0,0,James Conner,95.9672133684346,109.95284799495758,33.9,33.03602113375891,16.95
5,Arizona Cardinals,37810.0,78,2,0,1,0.0,0,0,1,0.0,1,0.0,0,121,517,4.3,4,6.6,74,64,407,6.4,2,5.2,0,0.0,0,0,42,128.4,0.0,16,14,0,0,0,0,0,5,2,0,2,0,0.0,0,3271,2300,RB,0,0,0,0,0,0,0,DeeJay Dallas,98.94007727778671,151.08356846190313,46.18,59.39692750082059,23.09
6,Arizona Cardinals,25952.0,27,2,0,0,0.0,0,0,0,0.0,0,0.0,0,82,507,6.2,3,18.8,50,37,223,6.0,0,8.3,0,0.0,0,0,18,91.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,794,64,RB,0,0,0,0,0,0,0,Emari Demercado,99.13833217483716,154.28603201245176,47.64,59.861323273794255,23.82
7,Arizona Cardinals,20705.0,9,4,0,0,0.0,0,0,0,0.0,0,0.0,0,88,313,3.6,1,34.8,15,14,108,7.7,0,12.0,0,0.0,0,0,6,48.1,0.0,0,0,0,0,0,0,0,2,1,0,0,0,0.0,0,461,40,RB,0,0,0,0,0,0,0,Zonovan Knight,99.21817799432743,155.59384418729547,51.57,60.66822348900727,25.78
8,Arizona Cardinals,6299.0,13,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,10,7,45,6.4,0,3.5,0,0.0,0,0,0,4.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,67,22,WR,0,0,0,0,0,0,0,Andre Baccellia,99.5288243251466,160.7825035464026,72.0,61.83844051728959,36.0
9,Arizona Cardinals,638737.0,17,16,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,116,62,885,14.3,8,52.1,0,0.0,0,0,48,134.5,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,885,0,WR,0,0,0,0,0,0,0,Marvin Harrison Jr.,91.2144231706,65.00992266735426,41.44,56.82823890691745,20.72
10,Arizona Cardinals,22689.0,9,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,4,2,9,4.5,0,1.0,0,0.0,1,0,2,2.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,9,0,WR,0,0,0,0,0,0,0,Trishton Jackson,99.28025014955998,156.61777655464508,74.84,61.889436887114506,37.42
11,Arizona Cardinals,63025.0,49,25,0,0,0.0,0,0,0,0.0,0,0.0,0,4,4,1.0,0,0.1,147,98,1249,12.7,6,25.5,0,0.0,1,0,38,161.3,0.0,4,1,0,0,0,0,0,1,0,0,0,0,0.0,0,1453,200,WR,0,0,0,0,0,0,0,Quez Watkins,98.55626776234448,145.06135444747724,43.33,58.06324749201969,21.66
12,Arizona Cardinals,48193.0,2,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,2,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,WR,0,0,0,0,0,0,0,Xavier Weaver,99.00992117459734,152.20453873251634,76.8,61.9319556551263,38.4
13,Arizona Cardinals,184723.0,29,25,0,0,0.0,0,0,0,0.0,0,0.0,0,1,7,7.0,0,0.2,129,85,1113,13.1,7,38.4,0,0.0,1,0,44,154.0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0,1120,0,WR,0,0,0,0,0,0,0,Michael Wilson,96.95239384889992,122.25334356635312,42.06,57.200874230212825,21.03
14,Arizona Cardinals,23555.0,28,8,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,43,34,335,9.9,3,12.0,0,0.0,0,0,18,51.5,0.0,1,2,0,0,0,0,0,0,0,0,0,0,0.0,0,335,0,TE,0,0,0,0,0,0,0,Elijah Higgins,99.24462359200068,156.02930957521252,49.54,60.291846443301324,24.77
15,Arizona Cardinals,170505.0,49,41,0,0,0.0,0,0,0,0.0,0,0.0,0,1,2,2.0,1,0.0,292,221,2236,10.1,6,45.6,0,0.0,0,0,48,271.8,0.0,7,1,0,0,0,0,0,2,3,1,0,0,0.0,0,2238,0,TE,0,0,0,0,0,0,0,Trey McBride,97.06380424946845,123.722172918002,41.15,56.56158563135064,20.58
16,Arizona Cardinals,28861.0,17,9,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,7,6,37,6.2,0,2.2,0,0.0,0,0,0,3.7,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,37,0,TE,0,0,0,0,0,0,0,Tip Reiman,99.21741806907656,155.58134792179578,57.22,61.24617080760778,28.61
17,Arizona Cardinals,7921.0,3,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,TE,0,0,0,0,0,0,0,Travis Vokolek,99.52985879954406,160.80005282540785,71.75,61.834445199345595,35.88
18,Arizona Cardinals,20285.0,15,5,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,OL,0,0,0,0,0,0,0,Isaiah Adams,99.35903043620678,157.92650939713218,67.18,61.717866135650475,33.59
19,Arizona Cardinals,8765.0,5,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,G,0,0,0,0,0,0,0,McClendon Curtis,99.5184163241736,160.60603861756127,77.06,61.936420075748394,38.53
20,Arizona Cardinals,29668.0,65,40,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,2,2,0,0,0,0.0,0,-16,0,C,0,0,0,0,0,0,0,Hjalte Froholdt,99.15083410737728,154.49011502915488,49.45,60.27773996590175,24.72
21,Arizona Cardinals,7533.0,13,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,OL,0,0,0,0,0,0,0,Jon Gaines,99.53206369715244,160.8374637378901,73.94,61.87715492019863,36.97
22,Arizona Cardinals,56109.0,31,31,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,OL,0,0,0,0,0,0,0,Paris Johnson,98.84537037931769,149.57600774548018,52.69,60.84439885362074,26.34
23,Arizona Cardinals,13545.0,30,2,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,11,9,0,0,0,0,1,0,2,0,0,0,0.0,0,0,0,CB,0,0,0,0,0,0,0,Christian Holmes,99.43156806183146,159.14068761074128,61.01,61.48312577865387,30.5
24,Arizona Cardinals,18496.0,22,11,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,G,0,0,0,0,0,0,0,Nick Leverett,99.36288883954298,157.9908721223969,63.35,61.583002317986356,31.68
25,Arizona Cardinals,63984.0,65,65,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,6,0.0,0.0,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,LT,0,0,0,0,0,0,1,Jonah Williams,98.63623063476828,146.2970326586513,29.71,20.24045816922785,14.86
26,Arizona Cardinals,18469.0,88,72,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,12.0,123,100,35,38,0,0,10,0,4,0,1,0,0.0,0,0,0,RDT,0,0,0,0,0,0,0,Justin Jones,99.2839831006146,156.67955756228585,44.71,58.68900030010319,22.36
27,Arizona Cardinals,14315.0,4,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,DT,0,0,0,0,0,0,0,PJ Mustipher,99.44719669438966,159.4034442381777,65.56,61.66259294633575,32.78
28,Arizona Cardinals,15976.0,100,88,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,6,0.0,14.0,124,124,27,45,1,0,6,0,5,1,2,0,0.0,0,27,0,RDT,0,0,0,0,0,0,0,Bilal Nichols,99.29377193670176,156.84167412415596,43.31,58.037759275692274,21.66
29,Arizona Cardinals,72543.0,6,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,1.0,4,6,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,DL,0,0,0,0,0,0,0,Darius Robinson,98.6953023958341,147.21624425342262,60.21,61.43439348117692,30.1
30,Arizona Cardinals,6846.0,18,1,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,2.0,7,10,1,3,0,0,1,0,1,0,0,0,0.0,0,0,0,DL,0,0,0,0,0,0,0,Ben Stille,99.53104667123024,160.82020664285366,64.13,61.61495585784926,32.06
31,Arizona Cardinals,14581.0,31,18,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,8.0,38,51,9,11,0,0,1,0,1,0,1,0,0.0,0,0,0,DL,0,0,0,0,0,0,0,Dante Stills,99.40968365066406,158.77344503810454,58.24,61.31285944404294,29.12
32,Arizona Cardinals,31719.0,51,29,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,11.5,77,51,19,25,1,0,6,1,1,0,2,0,0.0,0,-6,0,ROLB,0,0,0,0,0,0,0,Baron Browning,99.17469116407402,154.88026913077758,47.6,59.857500828092505,23.8
