Unnamed: 0,Team,Pageviews,G,GS,Cmp,PaAtt,Cmp%,PaYds,PaTD,IntO,Rate,SkO,QBWin,GWD,RuAtt,RuYds,RuY/A,RuTD,RuY/G,Tgt,Rec,RecYds,Y/Rec,RecTD,RecY/G,FG,FG%,2PM,Sfty,Pts,FantPts,SkD,Solo,Ast,TFL,QBHit,IntD,Pick6,PaDef,Fmb,FR,Scoop6,FF,PntYds,Y/Pnt,Blck,APYd,RetYds,Pos,MVP,OPOY,DPOY,OROY,DROY,AP1,SB,Player,Obscurity_Score,Obscurity_Score_Scaled,obscurity_score,obscurity_score_normalized,obscurity_score_scaled
23,Arizona Cardinals,13545.0,30,2,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,11,9,0,0,0,0,1,0,2,0,0,0,0.0,0,0,0,CB,0,0,0,0,0,0,0,Christian Holmes,99.43156806183146,159.14068761074128,58.97,60.789730249040296,29.48
24,Arizona Cardinals,18496.0,22,11,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,G,0,0,0,0,0,0,0,Nick Leverett,99.36288883954298,157.9908721223969,63.32,61.07024257136799,31.66
25,Arizona Cardinals,63984.0,65,65,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,6,0.0,0.0,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,LT,0,0,0,0,0,0,1,Jonah Williams,98.63623063476828,146.2970326586513,31.64,22.289778792985405,15.82
26,Arizona Cardinals,18469.0,88,72,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,12.0,123,100,35,38,0,0,10,0,4,0,1,0,0.0,0,0,0,RDT,0,0,0,0,0,0,0,Justin Jones,99.2839831006146,156.67955756228585,52.85,60.114080824473525,26.42
27,Arizona Cardinals,14315.0,4,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,DT,0,0,0,0,0,0,0,PJ Mustipher,99.44719669438966,159.4034442381777,75.62,61.38791701868135,37.81
28,Arizona Cardinals,15976.0,100,88,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,6,0.0,14.0,124,124,27,45,1,0,6,0,5,1,2,0,0.0,0,27,0,RDT,0,0,0,0,0,0,0,Bilal Nichols,99.29377193670176,156.84167412415596,50.96,59.88571803551982,25.48
29,Arizona Cardinals,72543.0,6,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,1.0,4,6,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,DL,0,0,0,0,0,0,0,Darius Robinson,98.6953023958341,147.21624425342262,61.88,61.00662376201882,30.94
30,Arizona Cardinals,6846.0,18,1,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,2.0,7,10,1,3,0,0,1,0,1,0,0,0,0.0,0,0,0,DL,0,0,0,0,0,0,0,Ben Stille,99.53104667123024,160.82020664285366,61.58,60.98526244515592,30.79
31,Arizona Cardinals,14581.0,31,18,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,8.0,38,51,9,11,0,0,1,0,1,0,1,0,0.0,0,0,0,DL,0,0,0,0,0,0,0,Dante Stills,99.40968365066406,158.77344503810454,55.04,60.353763494632524,27.52
32,Arizona Cardinals,31719.0,51,29,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,11.5,77,51,19,25,1,0,6,1,1,0,2,0,0.0,0,-6,0,ROLB,0,0,0,0,0,0,0,Baron Browning,99.17469116407402,154.88026913077758,44.58,58.92273237597773,22.29
33,Arizona Cardinals,39650.0,67,56,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,6,0.0,10.5,136,87,25,17,2,1,13,0,1,0,3,0,0.0,0,31,0,DB,0,0,0,0,0,0,0,Zaven Collins,99.06426454351188,153.08216282064896,56.42,60.49621512670708,28.21
34,Arizona Cardinals,9399.0,17,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,2,2,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,LB,0,0,0,0,0,0,0,Milo Eifler,99.50711134638166,160.4145736568785,63.89,61.102449425624165,31.94
35,Arizona Cardinals,8231.0,10,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,5,4,0,0,0,0,0,0,0,0,2,0,0.0,0,0,0,LB,0,0,0,0,0,0,0,Vi Jones,99.5254933486485,160.72600772754603,67.02,61.22034923966986,33.51
36,Arizona Cardinals,35308.0,17,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,4.0,23,17,5,6,0,0,1,0,0,0,0,0,0.0,0,0,0,OLB,0,0,0,0,0,0,0,BJ Ojulari,99.17524720310377,154.88937359957436,63.63,61.08900768147305,31.82
37,Arizona Cardinals,11327.0,32,2,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,23,16,0,1,0,0,3,0,0,0,1,0,0.0,0,0,0,LB,0,0,0,0,0,0,0,Owen Pappoe,99.47741581385674,159.91266980020438,57.47,60.62822809422438,28.74
38,Arizona Cardinals,22953.0,14,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,2.5,6,4,2,4,0,0,1,0,0,0,1,0,0.0,0,0,0,OLB,0,0,0,0,0,0,0,Xavier Thomas,99.33424106387616,157.51358517351537,66.13,61.196395238099264,33.06
39,Arizona Cardinals,7964.0,6,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0,1,0,LB,0,0,0,0,0,0,0,Benton Whitley,99.52041517684502,160.6399143929709,71.8,61.32550177276174,35.9
40,Arizona Cardinals,35893.0,93,48,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,9.0,190,121,15,15,2,0,18,0,1,0,4,0,0.0,0,21,0,LB,0,0,0,0,0,0,0,Mack Wilson,99.11276179355583,153.86941185544913,46.98,59.42250697685511,23.49
41,Arizona Cardinals,132813.0,122,112,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,6,0.0,9.5,621,280,47,18,7,0,39,0,5,1,7,0,0.0,0,279,0,S,0,0,0,0,0,2,0,Budda Baker,97.81487755754758,134.0630257899,22.67,12.271034290796852,11.34
42,Arizona Cardinals,6332.0,37,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,14,6,0,0,1,0,1,0,1,0,2,0,0.0,0,0,0,S,0,0,0,0,0,0,0,Joey Blount,99.53586476345932,160.90197651535254,59.57,60.85408668691403,29.78
43,Arizona Cardinals,16528.0,6,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,CB,0,0,0,0,0,0,1,Ekow Boye-Doe,99.3753680462906,158.19921016162192,33.02,23.34344692807037,16.51
