Unnamed: 0,Team,Pageviews,G,GS,All_Star,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,MVP,ROY,DPOY,All_NBA,Champ,IG,Player,Team_Pageviews,MP_PerGame,FG_PerGame,FGA_PerGame,2P_PerGame,2PA_PerGame,3P_PerGame,3PA_PerGame,FT_PerGame,FTA_PerGame,ORB_PerGame,DRB_PerGame,TRB_PerGame,AST_PerGame,STL_PerGame,BLK_PerGame,TOV_PerGame,PF_PerGame,PTS_PerGame,Obscurity_Score,Obscurity_Score_Scaled,visibility_score,performance_score,obscurity_score,obscurity_score_normalized,obscurity_score_scaled
16,Atlanta Hawks,640276.0,445,445,3,15245,3566,8221,2395,4909,1171,3312,2958,3389,283,1299,1582,4318,464,71,1861,768,11261,0.434,0.488,0.354,0.873,0.58,0.505,0,0,0,1,0,5129014.0,Trae Young,460240,34.258426966292134,8.013483146067415,18.474157303370788,5.382022471910112,11.031460674157303,2.6314606741573034,7.442696629213483,6.647191011235955,7.615730337078651,0.6359550561797753,2.9191011235955058,3.555056179775281,9.703370786516857,1.0426966292134832,0.1595505617977528,4.182022471910113,1.7258426966292135,25.30561797752809,83.24408302425223,24.43426616395498,0.10287560242054375,0.525095309670608,47.11,100.0,50.0
17,Boston Celtics,1920374.0,575,468,3,17557,4078,8536,2979,5487,1099,3049,1599,2209,579,2474,3053,1473,585,219,1213,1448,10854,0.478,0.543,0.36,0.724,0.571,0.542,0,0,0,1,1,4094808.0,Jaylen Brown,1932688,30.53391304347826,7.092173913043478,14.845217391304349,5.180869565217392,9.542608695652174,1.911304347826087,5.302608695652174,2.780869565217391,3.841739130434783,1.0069565217391303,4.302608695652174,5.309565217391304,2.5617391304347827,1.017391304347826,0.3808695652173913,2.1095652173913044,2.5182608695652173,18.876521739130435,78.62871120469771,12.128384002521477,0.29229715416426777,0.3730475293920895,26.4,60.75,30.37
18,Boston Celtics,107679.0,441,168,0,8713,1013,2232,599,1067,414,1165,211,300,557,1197,1754,464,228,243,286,911,2651,0.454,0.561,0.355,0.703,0.561,0.547,0,0,0,0,1,125471.0,Torrey Craig,1932688,19.75736961451247,2.2970521541950117,5.061224489795919,1.3582766439909295,2.419501133786848,0.9387755102040816,2.6417233560090705,0.4784580498866213,0.6802721088435374,1.2630385487528344,2.7142857142857144,3.9773242630385486,1.0521541950113378,0.5170068027210885,0.5510204081632653,0.6485260770975056,2.0657596371882088,6.011337868480726,94.71748898379526,95.99566810753954,0.15658684129314765,0.18825217439275357,15.88,47.0,23.5
19,Boston Celtics,79655.0,25,0,0,129,15,36,9,19,6,17,5,8,4,17,21,22,4,3,12,10,41,0.417,0.474,0.353,0.625,0.519,0.5,0,0,0,0,1,0.0,JD Davison,1932688,5.16,0.6,1.44,0.36,0.76,0.24,0.68,0.2,0.32,0.16,0.68,0.84,0.88,0.16,0.12,0.48,0.4,1.64,97.79690579355884,133.80641091955297,0.15475634303470867,0.07886602110100263,6.67,32.76,16.38
20,Boston Celtics,249726.0,220,27,0,3898,544,1225,120,194,424,1031,31,38,111,503,614,201,96,55,76,242,1543,0.444,0.619,0.411,0.816,0.621,0.617,0,0,0,0,1,74942.0,Sam Hauser,1932688,17.71818181818182,2.4727272727272727,5.568181818181818,0.5454545454545454,0.8818181818181818,1.9272727272727272,4.6863636363636365,0.1409090909090909,0.1727272727272727,0.5045454545454545,2.286363636363636,2.790909090909091,0.9136363636363636,0.4363636363636363,0.25,0.3454545454545454,1.1,7.013636363636364,95.37551895632456,103.12709437364263,0.16500544212507542,0.1675102404315427,13.99,43.51,21.76
21,Boston Celtics,1420294.0,1011,930,2,33368,6333,13697,4802,9555,1531,4142,1959,2491,965,3267,4232,6340,1443,524,2645,2150,16156,0.462,0.503,0.37,0.786,0.546,0.518,0,0,0,0,2,904731.0,Jrue Holiday,1932688,33.00494559841741,6.264094955489615,13.547972304648862,4.74975272007913,9.451038575667656,1.5143422354104847,4.096933728981207,1.9376854599406528,2.463897131552918,0.9545004945598418,3.2314540059347183,4.18595450049456,6.271018793273986,1.427299703264095,0.5182987141444114,2.6162215628091,2.126607319485658,15.980217606330363,77.65950202067768,10.190275575123293,0.25094135353174235,0.4542825580120803,34.03,69.93,34.97
22,Boston Celtics,1187414.0,1111,1061,5,35160,5970,11680,5043,9229,927,2451,1581,2078,2123,6626,8749,3570,853,1278,1549,2385,14448,0.511,0.546,0.378,0.761,0.574,0.551,0,0,0,1,1,749658.0,Al Horford,1932688,31.647164716471647,5.373537353735373,10.513051305130514,4.539153915391539,8.306930693069306,0.8343834383438344,2.206120612061206,1.423042304230423,1.8703870387038704,1.9108910891089108,5.963996399639964,7.874887488748874,3.213321332133213,0.7677767776777678,1.1503150315031505,1.3942394239423943,2.1467146714671466,13.004500450045004,78.82501936111407,12.544337503429489,0.2593414634134562,0.37515164244970556,27.79,62.86,31.43
23,Boston Celtics,227690.0,316,46,0,4503,620,1206,472,748,148,458,190,240,372,648,1020,317,104,261,118,358,1578,0.514,0.631,0.323,0.792,0.602,0.575,0,0,0,0,1,0.0,Luke Kornet,1932688,14.25,1.962025316455696,3.816455696202532,1.4936708860759491,2.367088607594937,0.4683544303797468,1.4493670886075949,0.6012658227848101,0.759493670886076,1.1772151898734178,2.050632911392405,3.2278481012658227,1.0031645569620251,0.3291139240506329,0.8259493670886076,0.3734177215189873,1.1329113924050631,4.993670886075949,95.35973760929518,102.95051387633704,0.16359577861493713,0.1673027568402594,13.99,43.59,21.8
24,Boston Celtics,88362.0,14,0,0,132,15,28,5,6,10,22,6,7,5,19,24,9,4,2,6,11,46,0.536,0.833,0.455,0.857,0.74,0.714,0,0,0,0,1,16899.0,Drew Peterson,1932688,9.428571428571429,1.0714285714285714,2.0,0.3571428571428571,0.4285714285714285,0.7142857142857143,1.5714285714285714,0.4285714285714285,0.5,0.3571428571428571,1.3571428571428572,1.7142857142857142,0.6428571428571429,0.2857142857142857,0.1428571428571428,0.4285714285714285,0.7857142857142857,3.2857142857142856,97.7057315224303,132.51163449669824,0.15529741727290625,0.10587890804154279,8.94,36.6,18.3
25,Boston Celtics,1232667.0,477,476,1,14707,3288,7153,2401,4701,887,2452,1896,2281,834,2898,3732,855,346,873,800,1424,9359,0.46,0.511,0.362,0.831,0.574,0.522,0,0,0,0,1,1600000.0,Kristaps Porziņģis,1932688,30.832285115303986,6.8930817610062896,14.9958071278826,5.033542976939203,9.855345911949684,1.859538784067086,5.140461215932914,3.9748427672955975,4.781970649895178,1.748427672955975,6.075471698113208,7.823899371069182,1.7924528301886793,0.7253668763102725,1.830188679245283,1.6771488469601676,2.9853249475890986,19.62054507337526,84.06807215935731,27.293283418680133,0.23310853593708242,0.41416873812943206,31.76,67.53,33.76
26,Boston Celtics,539468.0,309,14,0,5904,955,2123,408,756,547,1367,165,193,219,577,796,742,151,27,238,380,2622,0.45,0.54,0.4,0.855,0.594,0.579,0,0,0,0,1,447083.0,Payton Pritchard,1932688,19.106796116504853,3.0906148867313914,6.8705501618122975,1.3203883495145632,2.4466019417475726,1.7702265372168284,4.423948220064725,0.5339805825242718,0.6245954692556634,0.7087378640776699,1.867313915857605,2.576051779935275,2.401294498381877,0.4886731391585761,0.087378640776699,0.7702265372168284,1.2297734627831716,8.485436893203884,92.98496236844552,79.31685901548369,0.18277251170462425,0.2065793136815349,16.88,48.78,24.39
27,Boston Celtics,201086.0,82,5,0,994,165,263,165,261,0,2,57,83,123,177,300,47,25,58,42,141,387,0.627,0.632,0.0,0.687,0.646,0.627,0,0,0,0,1,184601.0,Neemias Queta,1932688,12.121951219512194,2.0121951219512195,3.207317073170732,2.0121951219512195,3.182926829268293,0.0,0.024390243902439,0.6951219512195121,1.0121951219512195,1.5,2.158536585365854,3.658536585365854,0.573170731707317,0.3048780487804878,0.7073170731707317,0.5121951219512195,1.7195121951219512,4.719512195121951,96.67957662758188,118.72488344442075,0.16223839300487713,0.15695636683489952,13.15,42.86,21.43
28,Boston Celtics,137343.0,6,0,0,38,1,11,1,4,0,7,2,2,2,8,10,2,1,0,0,3,4,0.091,0.25,0.0,1.0,0.168,0.091,0,0,0,0,0,40561.0,Baylor Scheierman,1932688,6.333333333333333,0.1666666666666666,1.8333333333333333,0.1666666666666666,0.6666666666666666,0.0,1.1666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.1666666666666666,0.0,0.0,0.5,0.6666666666666666,98.22217178617144,140.00408474698816,0.15825179405845227,0.04136084735019828,3.48,27.24,13.62
29,Boston Celtics,2805655.0,552,552,5,18985,4488,9751,3049,5898,1439,3853,2516,2995,489,3542,4031,2022,614,365,1288,1167,12931,0.46,0.517,0.373,0.84,0.584,0.534,0,0,0,4,1,7292211.0,Jayson Tatum,1932688,34.393115942028984,8.130434782608695,17.66485507246377,5.523550724637682,10.684782608695652,2.606884057971014,6.980072463768116,4.557971014492754,5.425724637681159,0.8858695652173914,6.416666666666667,7.302536231884058,3.6630434782608696,1.1123188405797102,0.6612318840579711,2.333333333333333,2.114130434782609,23.42572463768116,70.68143540766619,0.6243130665021828,0.36416317275427207,0.48713653446505145,30.97,65.88,32.94
30,Boston Celtics,176181.0,251,59,0,4116,584,1136,524,907,60,229,152,265,339,631,970,317,210,126,165,364,1380,0.514,0.578,0.262,0.574,0.551,0.54,0,0,0,0,1,0.0,Xavier Tillman Sr.,1932688,16.39840637450199,2.3266932270916336,4.52589641434263,2.087649402390438,3.613545816733068,0.2390438247011952,0.9123505976095616,0.6055776892430279,1.0557768924302788,1.350597609561753,2.5139442231075697,3.864541832669323,1.2629482071713147,0.8366533864541833,0.50199203187251,0.6573705179282868,1.450199203187251,5.49800796812749,95.36938600642364,103.05843852233212,0.16052008376370608,0.20113845234010552,16.89,48.86,24.43
31,Boston Celtics,161658.0,37,2,0,317,22,62,12,21,10,41,6,12,16,37,53,13,12,9,10,28,60,0.355,0.571,0.244,0.5,0.446,0.435,0,0,0,0,1,178482.0,Jordan Walsh,1932688,8.567567567567568,0.5945945945945946,1.6756756756756757,0.3243243243243243,0.5675675675675675,0.2702702702702703,1.108108108108108,0.1621621621621621,0.3243243243243243,0.4324324324324324,1.0,1.4324324324324325,0.3513513513513513,0.3243243243243243,0.2432432432432432,0.2702702702702703,0.7567567567567568,1.6216216216216215,97.42383946535838,128.58231662203366,0.15987641315624995,0.08648406167389489,7.27,33.72,16.86
