Unnamed: 0,Team,Pageviews,G,GS,Cmp,PaAtt,Cmp%,PaYds,PaTD,IntO,Rate,SkO,QBWin,GWD,RuAtt,RuYds,RuY/A,RuTD,RuY/G,Tgt,Rec,RecYds,Y/Rec,RecTD,RecY/G,FG,FG%,2PM,Sfty,Pts,FantPts,SkD,Solo,Ast,TFL,QBHit,IntD,Pick6,PaDef,Fmb,FR,Scoop6,FF,PntYds,Y/Pnt,Blck,APYd,RetYds,Pos,MVP,OPOY,DPOY,OROY,DROY,AP1,SB,Player,Obscurity_Score,Obscurity_Score_Scaled,oline_carrer_value,obscurity_score,obscurity_score_normalized,obscurity_score_scaled
491,Cleveland Browns,62241.0,106,106,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,1,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,RT,0,0,0,0,0,2,0,Jack Conklin,98.55900649087368,145.10351321746438,0,27.64,23.368129239818856,13.82
492,Cleveland Browns,44651.0,21,17,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,T,0,0,0,0,0,0,0,Dawand Jones,99.01636066646152,152.3082850831773,0,57.98,59.68309119260474,28.99
493,Cleveland Browns,25571.0,101,84,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,4,0,0,0,0.0,0,13,13,C,0,0,0,0,0,0,0,Ethan Pocic,99.12965259247964,154.14449547164546,0,47.34,57.48058627509923,23.67
494,Cleveland Browns,52298.0,96,88,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,1,1,-5,-5.0,0,-0.1,0,0.0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,2,0,0,0,0.0,0,-5,0,RG,0,0,0,0,0,0,0,Wyatt Teller,98.80971371940764,149.01210831619554,0,44.67,56.79691951677259,22.34
495,Cleveland Browns,13347.0,5,1,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,C,0,0,0,0,0,0,0,Luke Wypler,99.4576565714178,159.5795306149806,0,70.33,60.425003910669986,35.16
496,Cleveland Browns,90207.0,17,3,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,G,0,0,0,0,0,0,0,Zak Zinter,98.4588992864876,143.56998503543485,0,54.39,59.252915044242016,27.2
497,Cleveland Browns,11403.0,6,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,3,10,1,2,0,0,0,0,1,0,0,0,0.0,0,0,0,DT,0,0,0,0,0,0,0,Jowon Briggs,99.47665142696675,159.89977005724353,0,70.68,60.43481549049855,35.34
498,Cleveland Browns,564724.0,117,114,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,6,0.0,102.5,250,102,116,200,0,0,17,0,6,1,20,0,0.0,0,16,0,DE,0,0,1,0,0,4,0,Myles Garrett,93.15617946714148,80.8394775954997,0,23.2,18.107990808595147,11.6
499,Cleveland Browns,71704.0,8,3,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,1.0,8,6,3,6,0,0,0,0,0,0,0,0,0.0,0,0,0,DT,0,0,0,0,0,0,0,Michael Hall,98.7013664244448,147.31091386561027,0,56.35,59.50223383408303,28.18
500,Cleveland Browns,32887.0,129,84,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,27.5,186,140,51,60,1,0,36,0,0,0,5,0,0.0,0,0,0,DE,0,0,0,0,0,0,0,Shelby Harris,99.17221286573128,154.83969613902497,0,42.49,55.898013141913715,21.24
